feature,importance_mean,importance_std
lymph_nodes_examined_positive_log,0.07521250000000004,0.014984170032487627
pathway_proliferation_score,0.05175000000000004,0.015553473788032037
cell_cycle_checkpoint_score,0.030740625000000042,0.010880584503629638
gene_programme_14,0.027181250000000046,0.00723756746514327
ohe_integrative_cluster_5,0.02231562500000005,0.005505491753978481
type_of_breast_surgery_bin,0.006643750000000015,0.003101606186720046
ohe_pam50_luma,0.004962500000000014,0.00823675309588069
ohe_cohort_3,0.004793749999999997,0.003841467818425681
gene_programme_02,0.004687500000000034,0.003969242095476142
gene_programme_10,0.0030500000000000306,0.002065773916719825
gene_programme_12,0.002909375000000036,0.00211986742288874
tumor_size_log,0.002721875000000018,0.00492844204750598
ohe_pam50_lumb,0.00241562500000001,0.0032181750093220373
gene_programme_05,0.0021968750000000425,0.0012512532779677173
gene_programme_15,0.0012812500000000337,0.0006072478900745245
ohe_histology_other,0.0012375000000000246,0.0012805028309223097
ohe_integrative_cluster_9,0.0011718750000000334,0.0017351068275829645
gene_programme_09,0.0011406250000000396,0.0019133704105909484
pathway_emt_stroma_score,0.0009843750000000152,0.0009727989980592
gene_programme_11,0.0008968750000000525,0.0004502711856481718
ohe_histology_tubular__cribriform,0.0008781250000000074,0.0013812676752262554
mutation_count_log,0.0007781250000000184,0.0013649097096969233
gene_programme_13,0.00013125000000002718,0.002299108183078805
gene_programme_03,9.687500000005178e-05,0.0008710233295526292
pathway_luminal_score,-0.0013624999999999998,0.006729804858797928
gene_programme_08,-0.0020031249999999945,0.003046080024494622
gene_programme_04,-0.00390937499999996,0.0020731001279786355
ohe_cohort_5,-0.004696874999999945,0.0054917916375828305
ohe_her2_snp6_gain,-0.005968749999999923,0.00494647128011474
pathway_immune_ifn_score,-0.0060249999999999245,0.004423057483234873
inferred_menopausal_state_bin,-0.006078124999999957,0.0034687007316320743
ohe_oncotree_idc,-0.006768749999999979,0.0037012244595538875
