feature,score
ohe_cohort_1,0.5550801519552827
gene_programme_08,0.392758680350821
ohe_ethnicity_asian,0.3129834566434955
gene_programme_03,0.3241429583366859
ohe_ethnicity_north_america,0.29707725099831794
ohe_cohort_3,0.2988004141870848
ohe_cohort_4,0.23694821257849297
mutation_count_log,0.19708344075829803
ohe_cohort_2,0.17196727582013147
cell_cycle_checkpoint_score,0.157976675655596
ohe_ethnicity_european,0.1448877530542958
mutation_count_was_missing,0.12441080961407294
gene_programme_06,0.10321434985376803
type_of_breast_surgery_bin,0.1057260439801403
immune_innate_score,0.1017212651515418
ohe_her2_snp6_neutral,0.0995977743710124
age_at_diagnosis_imputed,0.10706448565991249
ohe_integrative_cluster_8,0.09330787145282753
ohe_pam50_claudinneglow,0.08464446165388209
gene_programme_14,0.0877265798814874
pathway_immune_ifn_score,0.08776806964478462
epithelial_differentiation_score,0.08896816592871969
er_status_bin,0.08551072561201828
ohe_histology_mixed,0.08172839679577991
ohe_oncotree_mdlc,0.08172839679577991
gene_programme_02,0.07971047471075511
ohe_histology_ductal_nst,0.07727350320046948
pr_status_bin,0.07857624570930322
pathway_dna_repair_score,0.07813140467291858
gene_programme_11,0.07541067038252884
ohe_her2_snp6_gain,0.07665065050641269
ohe_cohort_5,0.07663533580197583
tumor_size_was_missing,0.07258939909773553
neoplasm_histologic_grade_was_missing,0.0751841639039098
gene_programme_12,0.07190377075718872
her2_status_bin,0.06547807100384867
gene_programme_13,0.05742500949527596
ohe_her2_snp6_loss,0.05775190592461679
ohe_oncotree_idc,0.05864430664560363
lymph_nodes_examined_positive_log,0.06977136369925993
gene_programme_07,0.05847060042637741
gene_programme_15,0.05597690696808747
gene_programme_04,0.05925202331235987
gene_programme_05,0.057062910400448245
gene_programme_01,0.049967094550553516
gene_programme_10,0.054257572002636846
ohe_integrative_cluster_1,0.05204896909197196
ohe_histology_medullary,0.04691332639570931
ohe_integrative_cluster_7,0.04845833361819473
ohe_integrative_cluster_4ERplus,0.044525744998955424
ohe_integrative_cluster_6,0.05102501824023635
ohe_pam50_luma,0.045234701922509106
ohe_pam50_her2,0.05008727181936653
ohe_ethnicity_africa,0.050209477709596106
ohe_integrative_cluster_5,0.050295126948207224
inferred_menopausal_state_bin,0.040441830885717754
pathway_her2_score,0.0447411825768273
ohe_pam50_basal,0.039283324716637834
cellularity_was_missing,0.03395915286657888
ohe_integrative_cluster_2,0.03946138023546593
pathway_emt_stroma_score,0.03686741633388768
tumor_stage_was_missing,0.03263271255455047
ohe_pam50_normal,0.03130024355025988
ohe_integrative_cluster_10,0.02989336879676298
gene_programme_09,0.02811453789306665
pathway_luminal_score,0.02838728735948491
ohe_histology_other,0.02182809184355962
ohe_oncotree_other,0.02182809184355962
stromal_matrix_score,0.026300043120050905
ohe_integrative_cluster_9,0.025371276465838866
tumor_size_log,0.02388466478475766
ohe_pam50_lumb,0.024895177003148087
primary_tumor_laterality_bin,0.02300324620051586
pathway_proliferation_score,0.02346302097829417
ohe_integrative_cluster_3,0.021416463150325294
ohe_integrative_cluster_4ER-,0.02143680419263078
ohe_pam50_nc,0.022667845962569773
ohe_histology_tubular__cribriform,0.012122709522360105
age_at_diagnosis_was_missing,0.01366736626082417
ohe_her2_snp6_other,0.012349471136035605
ohe_histology_mucinous,0.006057101559043654
ohe_oncotree_immc,0.006057101559043654
cellularity_ord,0.006447777800668056
ohe_histology_lobular,0.004540107759052303
ohe_oncotree_ilc,0.004540107759052303
