feature,delta_cindex
lymph_nodes_examined_positive_log,0.02345829316721515
tumor_size_log,0.003592867265541866
pathway_proliferation_score,0.0029034822584175224
type_of_breast_surgery_bin,0.001939495423942894
ohe_integrative_cluster_2,0.001772429976533929
ohe_cohort_5,0.0016303283316114747
ohe_integrative_cluster_5,0.0012616321718124102
gene_programme_12,0.0009582259569776985
primary_tumor_laterality_bin,0.0009390230319882287
ohe_integrative_cluster_3,0.0008890954270154294
gene_programme_14,0.0008506895770363787
pr_status_bin,0.000812283727057217
gene_programme_10,0.0007373923195981291
gene_programme_11,0.0005818486271828016
ohe_pam50_claudinneglow,0.0005626457021933318
ohe_cohort_4,0.0005300007297110998
pathway_luminal_score,0.0004973557572288678
ohe_pam50_lumb,0.0004723919547424682
gene_programme_07,0.0004071020097781153
tumor_size_was_missing,0.00038213820729171566
age_at_diagnosis_imputed,0.00038213820729171566
gene_programme_13,0.00036677586730005096
ohe_histology_tubular__cribriform,0.00033989177231474876
pathway_emt_stroma_score,0.00028228299734611717
tumor_stage_was_missing,0.00023043509987441535
ohe_pam50_normal,0.00021315246738373705
gene_programme_08,0.00020547129738801573
ohe_pam50_her2,0.00020355100488900213
cellularity_was_missing,0.00017282632490578376
neoplasm_histologic_grade_was_missing,0.0001651451549099514
ohe_integrative_cluster_10,0.00015554369241521648
inferred_menopausal_state_bin,0.0001517031074173003
pathway_immune_ifn_score,0.0001497828149182867
ohe_histology_medullary,0.00014402193742146796
gene_programme_04,0.0001363407674256356
ohe_cohort_1,0.00013250018242771944
gene_programme_02,0.00013250018242771944
ohe_her2_snp6_gain,0.00011521754993715216
ohe_cohort_2,9.985520994548747e-05
cell_cycle_checkpoint_score,9.793491744658489e-05
er_status_bin,7.873199245700402e-05
ohe_integrative_cluster_7,7.297111496018527e-05
ohe_her2_snp6_neutral,6.528994496435292e-05
epithelial_differentiation_score,6.336965246545034e-05
ohe_integrative_cluster_4ER-,6.144935996643675e-05
gene_programme_01,6.144935996643675e-05
pathway_her2_score,6.144935996643675e-05
mutation_count_was_missing,4.03261424779533e-05
ohe_pam50_nc,3.840584997905072e-05
ohe_ethnicity_asian,3.648555748003712e-05
ohe_her2_snp6_loss,3.264497248212095e-05
ohe_ethnicity_africa,2.8804387484204774e-05
ohe_integrative_cluster_8,2.8804387484204774e-05
ohe_cohort_3,1.920292498946985e-05
ohe_histology_ductal_nst,1.5362339991553675e-05
pathway_dna_repair_score,9.601462494734925e-06
ohe_integrative_cluster_6,9.601462494734925e-06
ohe_histology_mixed,-1.9202924990135983e-06
ohe_oncotree_mdlc,-1.9202924990135983e-06
ohe_ethnicity_european,-7.681169995832349e-06
age_at_diagnosis_was_missing,-1.5362339991664697e-05
ohe_oncotree_other,-1.9202924989580872e-05
ohe_histology_other,-1.9202924989580872e-05
immune_innate_score,-2.688409498541322e-05
cellularity_ord,-2.688409498541322e-05
ohe_ethnicity_north_america,-3.0724679983329395e-05
ohe_oncotree_idc,-3.264497248223197e-05
gene_programme_06,-3.264497248223197e-05
ohe_oncotree_ilc,-4.2246434976966896e-05
ohe_histology_lobular,-4.2246434976966896e-05
ohe_oncotree_immc,-4.608701997488307e-05
ohe_histology_mucinous,-4.608701997488307e-05
ohe_integrative_cluster_4ERplus,-5.376818997071542e-05
gene_programme_09,-7.873199245711504e-05
ohe_pam50_basal,-8.833345495184997e-05
ohe_pam50_luma,-0.00010177550244461209
gene_programme_03,-0.00011137696493934701
mutation_count_log,-0.00011905813493517936
stromal_matrix_score,-0.00012289871993309553
ohe_her2_snp6_other,-0.00014402193742157898
ohe_integrative_cluster_9,-0.0001805074949016161
gene_programme_15,-0.00018434807989953228
ohe_integrative_cluster_1,-0.00022659451487649918
her2_status_bin,-0.0002515583173628988
gene_programme_05,-0.00038789908478864543
