feature,cox_uni,cox_pen,cox_drop,votes
lymph_nodes_examined_positive_log,1,1,1,3
tumor_size_log,1,1,1,3
pr_status_bin,1,1,1,3
type_of_breast_surgery_bin,1,1,1,3
ohe_pam50_lumb,1,1,1,3
ohe_integrative_cluster_2,1,1,1,3
ohe_integrative_cluster_3,1,1,1,3
ohe_integrative_cluster_5,1,1,1,3
ohe_histology_tubular__cribriform,1,1,1,3
pathway_proliferation_score,1,1,1,3
pathway_luminal_score,1,1,1,3
pathway_emt_stroma_score,1,1,1,3
gene_programme_07,1,1,1,3
gene_programme_10,1,1,1,3
er_status_bin,1,1,0,2
ohe_pam50_luma,1,1,0,2
gene_programme_04,1,1,0,2
gene_programme_05,1,1,0,2
ohe_pam50_her2,1,0,1,2
age_at_diagnosis_imputed,0,1,1,2
primary_tumor_laterality_bin,0,1,1,2
ohe_pam50_normal,0,1,1,2
ohe_pam50_claudinneglow,0,1,1,2
ohe_cohort_5,0,1,1,2
gene_programme_11,0,1,1,2
gene_programme_12,0,1,1,2
gene_programme_13,0,1,1,2
gene_programme_14,0,1,1,2
her2_status_bin,1,0,0,1
ohe_pam50_basal,1,0,0,1
ohe_integrative_cluster_8,1,0,0,1
ohe_cohort_3,1,0,0,1
ohe_her2_snp6_gain,1,0,0,1
ohe_her2_snp6_neutral,1,0,0,1
pathway_her2_score,1,0,0,1
pathway_dna_repair_score,1,0,0,1
cell_cycle_checkpoint_score,1,0,0,1
gene_programme_01,1,0,0,1
gene_programme_06,1,0,0,1
inferred_menopausal_state_bin,0,1,0,1
ohe_integrative_cluster_10,0,1,0,1
ohe_cohort_1,0,1,0,1
tumor_size_was_missing,0,0,1,1
tumor_stage_was_missing,0,0,1,1
neoplasm_histologic_grade_was_missing,0,0,1,1
cellularity_was_missing,0,0,1,1
ohe_cohort_4,0,0,1,1
gene_programme_08,0,0,1,1
age_at_diagnosis_was_missing,0,0,0,0
mutation_count_was_missing,0,0,0,0
mutation_count_log,0,0,0,0
cellularity_ord,0,0,0,0
ohe_ethnicity_africa,0,0,0,0
ohe_ethnicity_asian,0,0,0,0
ohe_ethnicity_european,0,0,0,0
ohe_ethnicity_north_america,0,0,0,0
ohe_pam50_nc,0,0,0,0
ohe_integrative_cluster_1,0,0,0,0
ohe_integrative_cluster_4ERplus,0,0,0,0
ohe_integrative_cluster_4ER-,0,0,0,0
ohe_integrative_cluster_6,0,0,0,0
ohe_integrative_cluster_7,0,0,0,0
ohe_integrative_cluster_9,0,0,0,0
ohe_cohort_2,0,0,0,0
ohe_histology_ductal_nst,0,0,0,0
ohe_histology_lobular,0,0,0,0
ohe_histology_medullary,0,0,0,0
ohe_histology_mixed,0,0,0,0
ohe_histology_mucinous,0,0,0,0
ohe_histology_other,0,0,0,0
ohe_oncotree_idc,0,0,0,0
ohe_oncotree_ilc,0,0,0,0
ohe_oncotree_immc,0,0,0,0
ohe_oncotree_mdlc,0,0,0,0
ohe_oncotree_other,0,0,0,0
ohe_her2_snp6_loss,0,0,0,0
ohe_her2_snp6_other,0,0,0,0
pathway_immune_ifn_score,0,0,0,0
immune_innate_score,0,0,0,0
stromal_matrix_score,0,0,0,0
epithelial_differentiation_score,0,0,0,0
gene_programme_02,0,0,0,0
gene_programme_03,0,0,0,0
gene_programme_09,0,0,0,0
gene_programme_15,0,0,0,0
